Country,FuelType,Commissioningyear,RetirementYear,RetirementPlan,UnitType,UnitStatusGross,UnitStatusDetailled,Capacity,Retiring
CzechRepublic,hardcoal,1976,2022,,chp,open,operational,200,1
CzechRepublic,hardcoal,1976,2022,,chp,open,operational,200,1
CzechRepublic,hardcoal,1976,2022,,chp,open,operational,200,1
CzechRepublic,lignite,1971,2026,,chp,open,operational,110,1
CzechRepublic,hardcoal,1952,8888,,chp,open,operational,24,1
CzechRepublic,hardcoal,1970,2026,,chp,open,operational,55,1
CzechRepublic,hardcoal,1976,8888,,chp,open,operational,20,1
CzechRepublic,hardcoal,1966,8888,,chp,open,operational,41,1
CzechRepublic,lignite,1957,2022,,chp,open,standby,55,1
Germany,hardcoal,1985,8888,,chp,open,standby,379,1
Germany,hardcoal,1997,8888,,chp,open,operational,476,1
Germany,lignite,1974,2029,,chp,open,operational,687,1
Germany,lignite,1974,2033,,conventional,open,operational,687,1
Germany,lignite,2002,2038,,conventional,open,operational,1012,1
Germany,hardcoal,1981,2022,,chp,open,operational,780,1
Germany,hardcoal,1990,2030,,chp,open,operational,100,1
Germany,hardcoal,1987,2029,,chp,open,operational,300,1
Germany,hardcoal,1988,2029,,chp,open,operational,300,1
Germany,hardcoal,1983,8888,,conventional,open,standby,780,1
Germany,lignite,2000,2035,,chp,open,operational,934,1
Germany,lignite,1999,2035,,chp,open,operational,934,1
Germany,lignite,1979,2029,,chp,open,operational,500,1
Germany,lignite,1980,2029,,chp,open,operational,500,1
Germany,lignite,2000,2038,,chp,open,operational,907,1
Germany,lignite,2012,2038,,conventional,open,operational,675,1
Germany,hardcoal,1984,2022,,heat,open,operational,78,1
Germany,hardcoal,1969,2022,,conventional,open,operational,380,1
Germany,hardcoal,1989,2023,,chp,open,operational,129,1
Germany,lignite,1988,2023,,chp,open,operational,67,1
Germany,lignite,1990,2023,,chp,open,operational,100,1
Germany,lignite,1999,2022,,chp,open,operational,82,1
Germany,hardcoal,2013,9999,,conventional,open,operational,790,1
Germany,lignite,1967,2024,,conventional,open,operational,340,1
Germany,lignite,1974,2028,,chp,open,operational,630,1
Germany,lignite,1975,2029,,chp,open,operational,625,1
Germany,hardcoal,1985,8888,,chp,open,operational,36,1
Germany,hardcoal,1988,8888,,chp,open,operational,33,1
Germany,hardcoal,1992,8888,,chp,open,operational,31,1
Germany,hardcoal,1989,2026,,chp,open,operational,72,1
Germany,hardcoal,1989,2026,,chp,open,operational,72,1
Germany,hardcoal,1968,8888,,chp,open,operational,370,1
Germany,hardcoal,1969,2022,,chp,open,operational,370,1
Germany,hardcoal,1985,8888,,heat,open,operational,76,1
Germany,lignite,1972,2022,,conventional,open,standby,312,1
Germany,lignite,1975,2022,,chp,open,operational,644,1
Germany,lignite,1976,2022,,chp,open,operational,644,1
Germany,lignite,2012,2038,,conventional,open,operational,1100,1
Germany,lignite,2012,2038,,conventional,open,operational,1100,1
Germany,hardcoal,1992,2023,,chp,open,operational,553,1
Germany,hardcoal,1993,8888,,chp,open,operational,205,1
Germany,hardcoal,1989,2024,,chp,open,operational,150,1
Germany,hardcoal,1989,2026,,chp,open,operational,150,1
Germany,hardcoal,1965,8888,,chp,open,standby,125,1
Germany,hardcoal,1966,8888,,chp,open,standby,125,1
Germany,hardcoal,1985,8888,,chp,open,operational,816,1
Germany,hardcoal,1989,2023,,chp,open,operational,500,1
Germany,lignite,1994,8888,,chp,open,operational,37,1
Germany,lignite,1992,8888,,chp,open,operational,76,1
Germany,hardcoal,1996,8888,,heat,open,operational,15,1
Germany,hardcoal,1985,8888,,chp,open,operational,550,1
Germany,hardcoal,2014,9999,,chp,open,operational,912,1
Germany,lignite,1988,2025,,chp,open,operational,38,1
Germany,lignite,2010,8888,,heat,open,operational,85,1
Germany,hardcoal,1962,8888,,industrial,open,operational,112,1
