index,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Waste,Wind Onshore,Geothermal,Wind Offshore,Fossil Oil shale,Fossil Peat,Marine
CzechRepublic,410,7700,380,1226,1200,0,1172,338,753,4040,0,410,2054,100,339,,,,,
Germany,8400,20487,0,31942,23499,4184,9422,3814,1298,8114,1639,420,53302,1640,54499,44,7774,,,
Denmark,1872,,,1654,3414,1010,,7,,,,142,1300,384,4481,,1700,,,
Greece,95,2561,,4902,,0,699,312,2403,,,106,3055,,3755,0,,,,
Spain,704,0,0,29970,5977,678,5645,1155,19186,7117,117,269,11390,537,26664,0,0,0,0,0
Finland,1860,,,1849,1682,1089,,3153,,2794,436,273,7,163,2422,,,,1135,
France,1579,,,12218,2977,2746,4655,9554,6655,61370,1120,,10213,,17217,,10,,,246
Hungary,213,1007,,4011,42,420,,30,28,1910,,69,1829,49,323,3,,,,
Italy,1587,0,2064,41925,6987,1480,7276,10472,4454,,837,0,4979,125,10302,869,0,,0,0
Netherlands,560,0,0,18500,4012,0,0,38,0,485,0,0,7900,780,4500,0,2357,0,0,0
Poland,880,7597,272,2555,20925,359,1794,447,157,,,,3473,,6570,,,,,
Slovenia,21,967,0,548,0,0,180,1121,0,696,0,0,289,37,3,0,0,0,0,0
Slovakia,,,,,,,,,,,,,,,,,,,,
UnitedKingdom,4528,,,41371,5755,316,4309,1919,,8256,3004,1900,13470,,13932,,12160,,,
Bulgaria,75,4119,,1261,356,,864,539,1810,2000,,,1173,6,701,,,,,
Croatia,108,,,743,217,77,281,427,1445,,,54,85,6,796,10,,,,
Ireland,,,,4265,855,1272,292,216,,,647,,,,1919,17,,,344,
Montenegro,,210,,,,,,307,342,,,,,,118,,,,,
NorthMacedonia,,824,,251,,,,,506,,,,,,35,,,,,
Romania,117,2483,,2184,986,,,2746,3388,1300,,,1145,,2957,,,,,
Bosnia&Herzegovina,,988,,,887,,440,1083,707,,,,,,145,,,,,
Kosovo,,1288,,,,,,33,35,,,,,,32,,,,,
Serbia,2,5283,,297,,,642,2004,472,,25,,3,,397,,,,,
Turkey,,,,,,,,,,,,,,,,,,,,
